id;cashIn;cashOut;transactionId;kioskUuid;cashierId;terminalId;settlementId;close;input_date
19;700000;-39750;;T02.230828.0007;123123;T02;T02SET000019;1;"2023-08-28 10:12:19"
20;500000;-87400;T02.230828.0003;T02.230828.0008;123123;T02;T02SET000019;1;"2023-08-28 11:06:13"
21;400000;-20500;T02.230828.0004;T02.230828.0010;123123;T02;T02SET000019;1;"2023-08-28 11:17:34"
22;50000;-24700;T02.230828.0005;T02.230828.0011;123123;T02;T02SET000019;1;"2023-08-28 11:18:55"
23;100000;-54100;T02.230829.0006;T02.230828.0012;123123;T02;T02SET000019;1;"2023-08-29 10:56:34"
24;3000000;-77400;T02.230829.0007;T02.230829.0013;123123;T02;T02SET000019;1;"2023-08-29 11:11:04"
25;50000000;-6698780;;T02.230830.0015;123123;T02;T02SET000019;1;"2023-08-31 07:28:18"
