id;transactionDate;transaction_date;kioskUuid;resetId;settlementId;memberId;paymentTypeId;storeOutlesId;terminalId;struk;total;locked;startDate;endDate;cashierId;pthType;subTotal;discount;discountMember;voucher;bkp;dpp;ppn;nonBkp;finalPrice;photo;userId;presence;inputDate;input_date;updateDate;update_date
XAU004.231115.0073;1700029011;"2023-11-15 06:16:51";XAU004.231115.0146;;XAU004SET000026;;;Comingsoon;XAU004;XAU004.231115.0073;17900;1;"2023-01-01 00:00:00.000";"2023-11-15 06:16:51.000";123123;1;0;0;0;0;16127;17900;1773;0;17900;;;1;1700029011;"2023-11-15 06:16:51";1700029011;"2023-11-15 06:16:51"
XAU004.231115.0074;1700035629;"2023-11-15 08:07:09";XAU004.231115.0147;;XAU004SET000026;;;Comingsoon;XAU004;XAU004.231115.0074;867700;1;"2023-01-01 00:00:00.000";"2023-11-15 08:07:09.000";123123;1;0;0;0;0;781712;867700;85988;0;867700;;;1;1700035629;"2023-11-15 08:07:09";1700035629;"2023-11-15 08:07:09"
XAU004.231115.0075;1700039052;"2023-11-15 09:04:12";XAU004.231115.0148;;XAU004SET000026;;;Comingsoon;XAU004;XAU004.231115.0075;816800;1;"2023-01-01 00:00:00.000";"2023-11-15 09:04:12.000";123123;1;0;0;0;0;735856;816800;80944;0;816800;;;1;1700039052;"2023-11-15 09:04:12";1700039052;"2023-11-15 09:04:12"
XAU004.231115.0076;1700040007;"2023-11-15 09:20:07";XAU004.231115.0149;;XAU004SET000026;;;Comingsoon;XAU004;XAU004.231115.0076;22500;1;"2023-01-01 00:00:00.000";"2023-11-15 09:20:07.000";123123;1;0;0;0;0;20271;22500;2229;0;22500;;;1;1700040007;"2023-11-15 09:20:07";1700040007;"2023-11-15 09:20:07"
XAU004.231116.0077;1700105478;"2023-11-16 03:31:18";XAU004.231116.0150;;XAU004SET000026;;;Comingsoon;XAU004;XAU004.231116.0077;779000;1;"2023-01-01 00:00:00.000";"2023-11-16 03:31:18.000";123123;1;0;0;0;0;701802;779000;77198;0;779000;;;1;1700105478;"2023-11-16 03:31:18";1700105478;"2023-11-16 03:31:18"
XAU004.231116.0078;1700105591;"2023-11-16 03:33:11";XAU004.231116.0151;;XAU004SET000026;;;Comingsoon;XAU004;XAU004.231116.0078;61850;1;"2023-01-01 00:00:00.000";"2023-11-16 03:33:11.000";123123;1;0;0;0;0;55721;61850;6129;0;61850;;;1;1700105591;"2023-11-16 03:33:11";1700105591;"2023-11-16 03:33:11"
