10162253-10101|0036896|1|9999|231900|0|0|0|0|1
10162253-10101|0062773|1|9999|288900|0|0|0|0|1
10162253-10101|0073199|1|9999|356900|0|0|0|0|1
10162253-10101|0034423|1|9999|175900|0|0|0|0|1
10162253-10101|0053073|1|9999|124900|0|0|0|0|1
10162246-10101|0073846|1|9999|719900|0|0|0|0|1
10162246-10101|0073847|1|9999|799900|0|0|0|0|1
10162253-10101|0053072|1|9999|104900|0|0|0|0|1
10162253-10101|0078091|1|9999|267900|0|0|0|0|1
10162405-10101|0033714|1|9999|16100|0|0|0|0|1
10162380-10101|0051960|1|9999|19400|0|0|0|0|1
10162382-10101|0030749|1|9999|17900|0|0|0|0|1
10162403-10101|0004467|1|9999|7400|0|0|0|0|1
10162381-10101|0015224|1|9999|4200|0|0|0|0|1
10162357-10101|0029728|1|9999|6300|0|0|0|0|1
10162414-10101|0083856|1|9999|5000|0|0|0|0|1
10162447-10101|0008743|1|9999|32500|0|0|0|0|1
10162386-10101|0002545|1|9999|29200|0|0|0|0|1
10162421-10101|0032421|1|9999|15900|0|0|0|0|1
10162242-10101|0026001|1|9999|42400|0|0|0|0|1
10162320-10101|0032243|1|9999|25200|0|0|0|0|1
10162381-10101|0063502|1|9999|6500|0|0|0|0|1
10162403-10101|0002551|1|9999|4400|0|0|0|0|1
10162384-10101|0029476|1|9999|12900|0|0|0|0|1
10162405-10101|0003844|1|9999|25500|0|0|0|0|1
10162381-10101|0028442|1|9999|35900|0|0|0|0|1
10162386-10101|0025388|1|9999|92400|0|0|0|0|1
10162384-10101|0025286|1|9999|79900|0|0|0|0|1
10162380-10101|0003756|1|9999|4800|0|0|0|0|1
10162403-10101|0033609|1|9999|13400|0|0|0|0|1
10162320-10101|0032248|1|9999|25200|0|0|0|0|1
10162403-10101|0004747|1|9999|11500|0|0|0|0|1
10162384-10101|0016277|1|9999|79900|0|0|0|0|1
10162395-10101|0016932|1|9999|4100|0|0|0|0|1
10162403-10101|0030986|1|9999|4400|0|0|0|0|1
10162385-10101|0060651|1|9999|85600|0|0|0|0|1
10162382-10101|0028460|1|9999|35500|0|0|0|0|1
10162382-10101|0066443|1|9999|5300|0|0|0|0|1
10162405-10101|0031340|1|9999|36500|0|0|0|0|1
10162381-10101|0065057|1|9999|15000|0|0|0|0|1
10162381-10101|0011793|1|9999|8900|0|0|0|0|1
10162404-10101|0067660|1|9999|8900|0|0|0|0|1
10162382-10101|0017578|1|9999|5300|0|0|0|0|1
10162242-10101|0004553|1|9999|5300|0|0|0|0|1
10162421-10101|0051437|1|9999|19500|0|0|0|0|1
10162380-10101|0002786|1|9999|4800|0|0|0|0|1
10162421-10101|0036060|1|9999|23500|0|0|0|0|1
10162381-10101|0013644|1|9999|20700|0|0|0|0|1
10162403-10101|0002883|1|9999|11200|0|0|0|0|1
10162386-10101|0063610|1|9999|3300|0|0|0|0|1
10162382-10101|0018750|1|9999|6650|0|0|0|0|1
10162317-10101|0070364|1|9999|29900|0|0|0|0|1
10162380-10101|0033958|1|9999|19400|0|0|0|0|1
10162405-10101|0004347|1|9999|8900|0|0|0|0|1
10162382-10101|0010258|1|9999|5500|0|0|0|0|1
10162242-10101|0011112|1|9999|44900|0|0|0|0|1
10162384-10101|0009543|1|9999|26350|0|0|0|0|1
10162403-10101|0079907|1|9999|17900|0|0|0|0|1
10162405-10101|0074855|1|9999|80900|0|0|0|0|1
10162350-10101|0037765|1|9999|23400|0|0|0|0|1
10162405-10101|0040960|1|9999|22500|0|0|0|0|1
