id;transactionId;paymentTypeId;amount;rounding;presence;inputDate;updateDate;input_date;update_date
28;T02.230825.0001;BCA01;1000000;;1;1692951294;1692951294;"2023-08-25 08:14:54";"2023-08-25 08:14:54"
29;T02.230825.0001;CASH;175550;;1;1692951294;1692951294;"2023-08-25 08:14:54";"2023-08-25 08:14:54"
