id;cashIn;cashOut;transactionId;kioskUuid;cashierId;terminalId;settlementId;close;input_date
17;5000000;0;;;123123;T02;T02SET000018;1;"2023-08-25 11:02:07"
18;500000;-19300;T02.230825.0001;T02.230825.0004;123123;T02;T02SET000018;1;"2023-08-25 11:02:43"
