id;transactionId;paymentTypeId;amount;rounding;presence;inputDate;updateDate;input_date;update_date
26;T02.2023000007221;BCA01;1000000;;1;1692856008;1692856008;"2023-08-24 05:46:48";"2023-08-24 05:46:48"
27;T02.2023000007221;CASH;454400;;1;1692856008;1692856008;"2023-08-24 05:46:48";"2023-08-24 05:46:48"
