id;transactionId;paymentTypeId;amount;rounding;presence;inputDate;updateDate;input_date;update_date
61;T02.230906.0012;CASH;230000;;1;1693984250;1693984250;"2023-09-06 07:10:50";"2023-09-06 07:10:50"
62;T02.230906.0012;CASH;446800;;1;1693984250;1693984250;"2023-09-06 07:10:50";"2023-09-06 07:10:50"
